id,word,meaning,level
id,word,meaning,level
701,lumber,材木，製材,3
702,reverse,反対の,3
703,voluntary,自主的な，任意の,3
704,contractor,請負業者，契約業者,3
705,on-site,社内の，その場で,3
706,comprehensive,総合的な，包括的な,3
707,confidential,機密の,3
708,expertise,専門知識,3
709,premier,最高の,3
710,souvenir,土産物,3
711,rafting,川下り,3
712,compartment,一区画,3
713,fabric,生地、織物,3
714,spacious,広々とした,3
715,upgrade,改良,3
716,showcase,披露する,3
717,commuter,通勤者,3
718,enhance,向上させる,3
719,freight,貨物，輸送する,3
720,nominate,推薦する,3
721,discontinued,終了した,3
722,mentoring,メンター制度,3
723,personalized,個人に合わせた,3
724,pharmacy,薬局,3
725,excerpt,抜粋，引用,3
726,publicize,宣伝する,3
727,tuition,授業料,3
728,compliance,順守,3
729,clarify,明確にする,3
730,municipal,市営の,3
1001,leave A on B,AをBに置いていく,4
1002,console,ゲーム機,4
1003,remsemble,似ている,4
1004,transfer,振り込み,4
1005,furnace,暖房炉,4
1006,besides,に加えて,4
1007,Ltd,limited 有限会社,4
1008,traffic ,交通,4
1009,broadly,大まかに,4
1010,searchingly,鋭く,4
1011,newsletter,社報,4
1012,accomplishment,業績,4
1013,preferred,優先,4
1014,as if,あたかも〜のように,4
1015,even so,たとえそうでも,4
1016,upcoming,今度の,4
1017,prevailing,流行の,4
1018,feature,を特色とする,4
1019,condition,条件つける,4
1020,conditional,条件付きの,4
1021,promote P to A,PをAに昇進する,4
1022,sales-associate,販売員の,4
1023,"Since S, S'",Sなので,4
1024,caring,思いやりのある,4
1025,contribute N to A,NだけAに寄与（貢献）する,4
1026,track,追跡,4
1027,truck,トラック・線路,4
1028,coastal,海岸の,4
1029,council,議会,4
1030,convert A to B,AをBに変換する,4
1031,wisely,賢く,4
1032,entirely,すっかり,4
1033,archivist,文書局員,4
1034,curator,学芸員,4
1035,plausible,もっともらしい,4
1036,relieve,和らげる,4
1037,modify,改変する,4
1038,warranty,保証,4
1039,collared,襟付き,4
1040,authorize,許可する,4
1041,proseed,進む,4
1042,mine,鉱山,4
1043,stationer,文房具店,4
1044,business card,名刺,4
1045,agenda,議題,4
1046,intent,意図,4
1047,tendency,傾向,4
1048,fund-raiser,資金集めのイベント,4
1049,township,郡区,4
1050,authority,局,4
1051,board,委員会,4
1052,oversight,監視，監督,4
1053,vacancy,欠員,4
1054,oversee,監視する,4
1055,Note that ~,~ に注意しなさい,4
1056,on behalf of ~ ,~ を代表して,4
1057,inquiry,問い合わせ,4
1058,quote,見積もり,4
1059,auto insurance,自動車保険,4
1060,registration,登録,4
1061,credit,入金する　信用する,4
1062,plant,工場,4
1063,nationwide,全国的に,4
1064,both parties,両者,4
2001,corporation,企業,5
2002,competitive,競争力のある,5
2003,post ,掲載する,5
2004,sign up,登録する,5
2005,habitation,移住地,5
2006,be excited about ,にワクワクする,5
2007,familiarize P,Pに精通させる,5
2008,be familiar with,よく知っている,5
2009,sales figures,売上高,5
2010,profitability,利益,5
2011,appoint,任命する,5
2012,resign,辞任する,5
2013,anticipate,予想する,5
2014,division,分野,5
2015,approve,承認する,5
2016,legislation,法律,5
2017,appearance,外見,5
2018,contractor,請負業者,5
2019,in light of,考慮して,5
2020,workforce,労働力,5
2021,specialize in ,専門とする,5
2022,press conference,記者会見,5
2023,demonstration,実演,5
2024,substitute,代役,5
2025,substitution,置換,5
2026,situate,位置する,5
2027,change hands,所有者が変わる,5
2028,negotiation,交渉,5
2029,pointless,無意味な,5
2030,critic,評論家,5
2031,box office,映画・チケット売り場,5
2032,expedite,急ぐ,5
2033,outstanding,並外れた・未,5
2034,require,要求する・義務化する,5
2035,job applications,求人応募書類,5
2036,resume,履歴書　再開する,5
2037,disruption,混乱・遮断,5
2038,supplie,用品・需要,5
2039,inquire about,尋ねる,5
2040,leave of absence,休暇,5
2041,publication,出版物,5
2042,stringent,厳しい,5
2043,inventory,在庫,5
2044,in terms of,に関して,5
2045,yet ,だが　等位接続詞,5
2046,intriguing,興味深い,5
2047,S draw P to A,sがPをAに惹きつける,5
2048,restoration,復元　修復,5
2049,swift,迅速な,5
2050,run out,時間がない,5
2051,pastry,焼き菓子,5
2052,be instrumental in,重要な役割を果たす,5
2053,under the direction,指示の下で,5
2054,subordinate,部下,5
3001,be subjected to ,の対象になる,5
3002,turnover,離職率,6
3003,reimbursement,経費の精算,6
3004,stews,シチュー,6
3005,serious,真剣な,6
3006,merger,合併,6
3007,ship,輸送する,6
3008,domestic,国内の・家庭の,6
3009,workshop,講演会,6
3010,workstation,作業場所,6
3011,facilitate,容易にする,6
3012,distract,気を散らす,6
3013,overview,概要,6
3014,pharmacy,薬学,6
3015,collages,コラージュ　切取写真貼付,6
3016,power outage,停電,6
3017,invest,投資する,6
3018,directors,取締役,6
3019,await,待つ,6
3020,shareholder,株主,6
3021,properties,不動産,6
3022,revision,改訂,6
3023,erosion,土壌侵食,6
3024,geologist,地質学者,6
3025,absorp,吸収する,6
3026,delegation,代表団,6
3027,refreshments,軽食,6
3028,auditorium,講堂,6
3029,inspect,点検する,6
3030,periodic,定期的な,6
3031,abbembly,組み立て,6
3032,policy,方針,6
3033,evenly,平等に,6
3034,evergreens,常緑樹,6
3035,tolerate,耐える,6
3036,abundant,豊富な,6
3037,drought-prone,渇水のなりやすい,6
3038,crisis,危機,6
3039,insight,洞察,6
3040,discard,処分する,6
3041,claim,請求・クレーム,6
3042,inquiry,問い合わせ,6
3043,involve,含める,6
3044,direct to,に直接,6
3045,institute,制定する,6
3046,attire,服装,6
3047,enroll,登録する,6
